 sweep_vcmfb            sweep_voutp            sweep_voutn            sweep_voutcm           sweep_vod             
 1.419999999999997e-02  3.582779499692666e-07  3.582779499673713e-07  3.582779499683189e-07  1.895289159040700e-18 
 1.429999999999997e-02  3.582779492793315e-07  3.582779492822297e-07  3.582779492807806e-07 -2.898176168589792e-18 
 1.439999999999997e-02  3.582779486509895e-07  3.582779486507813e-07  3.582779486508854e-07  2.082112863469477e-19 
 1.449999999999997e-02  3.582779479617481e-07  3.582779479652473e-07  3.582779479634977e-07 -3.499198984225921e-18 
 1.459999999999997e-02  3.582779472688228e-07  3.582779472669753e-07  3.582779472678990e-07  1.847431797520832e-18 
 1.469999999999997e-02  3.582779465853510e-07  3.582779465848233e-07  3.582779465850871e-07  5.277544656986325e-19 
 1.479999999999997e-02  3.582779459027296e-07  3.582779459032248e-07  3.582779459029772e-07 -4.951966367885453e-19 
 1.489999999999997e-02  3.582779452490058e-07  3.582779452466680e-07  3.582779452478369e-07  2.337863873981072e-18 
 1.499999999999996e-02  3.582779445650281e-07  3.582779445645686e-07  3.582779445647983e-07  4.594624343262545e-19 
 1.509999999999996e-02  3.582779438609408e-07  3.582779438584287e-07  3.582779438596847e-07  2.512035023760238e-18 
 1.519999999999996e-02  3.582779431967841e-07  3.582779431971390e-07  3.582779431969616e-07 -3.549597444587552e-19 
 1.529999999999996e-02  3.582779424864468e-07  3.582779424858276e-07  3.582779424861372e-07  6.192869635613003e-19 
 1.539999999999996e-02  3.582779418391277e-07  3.582779418402121e-07  3.582779418396699e-07 -1.084413930722318e-18 
 1.549999999999996e-02  3.582779411435049e-07  3.582779411416111e-07  3.582779411425580e-07  1.893806851383005e-18 
 1.559999999999996e-02  3.582779404301284e-07  3.582779404303158e-07  3.582779404302221e-07 -1.874589791392173e-19 
 1.569999999999996e-02  3.582779397648651e-07  3.582779397677641e-07  3.582779397663146e-07 -2.898970261977843e-18 
 1.579999999999996e-02  3.582779390746532e-07  3.582779390776026e-07  3.582779390761279e-07 -2.949368722339474e-18 
 1.589999999999996e-02  3.582779384050782e-07  3.582779384085947e-07  3.582779384068364e-07 -3.516457280526228e-18 
 1.599999999999996e-02  3.582779377121357e-07  3.582779377126114e-07  3.582779377123736e-07 -4.757148790016964e-19 
 1.609999999999996e-02  3.582779370487325e-07  3.582779370481573e-07  3.582779370484449e-07  5.751883107448733e-19 
 1.619999999999996e-02  3.582779363768053e-07  3.582779363739161e-07  3.582779363753607e-07  2.889282322643622e-18 
 1.629999999999996e-02  3.582779357238172e-07  3.582779357227062e-07  3.582779357232617e-07  1.111042529001625e-18 
 1.639999999999996e-02  3.582779349978188e-07  3.582779349985349e-07  3.582779349981768e-07 -7.161663569035109e-19 
 1.649999999999996e-02  3.582779343490303e-07  3.582779343517550e-07  3.582779343503927e-07 -2.724746172639474e-18 
 1.659999999999996e-02  3.582779336526909e-07  3.582779336536034e-07  3.582779336531471e-07 -9.124133028704916e-19 
 1.669999999999995e-02  3.582779330006554e-07  3.582779329985873e-07  3.582779329996213e-07  2.068083880280578e-18 
 1.679999999999995e-02  3.582779322821707e-07  3.582779322826234e-07  3.582779322823971e-07 -4.526861707482201e-19 
 1.689999999999995e-02  3.582779315815257e-07  3.582779315830478e-07  3.582779315822868e-07 -1.522118206215978e-18 
 1.699999999999995e-02  3.582779309146361e-07  3.582779309125286e-07  3.582779309135823e-07  2.107470912327903e-18 
