 frequency              vavdd_real             vavdd_imag             vout_real              vout_imag             
 5.956621435290164e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128841333335e-01  1.317257545829079e-04 
 6.025595860743638e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128847110900e-01  1.332510668229030e-04 
 6.095368972401753e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128853023042e-01  1.347940413423456e-04 
 6.165950018614885e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128859072603e-01  1.363548826606582e-04 
 6.237348354824256e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128865263420e-01  1.379337976654703e-04 
 6.309573444801997e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128871598335e-01  1.395309956400814e-04 
 6.382634861905552e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128878080758e-01  1.411466882911379e-04 
 6.456542290346622e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128884714101e-01  1.427810897767534e-04 
 6.531305526474791e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128891502058e-01  1.444344167348507e-04 
 6.606934480076029e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128898448181e-01  1.461068883119092e-04 
 6.683439175686216e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128905556167e-01  1.477987261920061e-04 
 6.760829753919889e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128912829566e-01  1.495101546261681e-04 
 6.839116472814366e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128920272359e-01  1.512414004621456e-04 
 6.918309709189439e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128927888383e-01  1.529926931744281e-04 
 6.998419960022811e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128935682326e-01  1.547642648947195e-04 
 7.079457843841457e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128943657458e-01  1.565563504426576e-04 
 7.161434102129099e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128951818183e-01  1.583691873569541e-04 
 7.244359600749982e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128960104248e-01  1.602030159283781e-04 
 7.328245331389123e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128968649804e-01  1.620580792256489e-04 
 7.413102413009259e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128977394453e-01  1.639346231365681e-04 
 7.498942093324644e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128986342744e-01  1.658328963946717e-04 
 7.585775750291925e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128995499224e-01  1.677531506136844e-04 
 7.673614893618277e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129004901836e-01  1.696956403200846e-04 
