 time                   v(VDIFFCMD)            tr_vin_diff            v(OUTP)                v(OUTN)                tr_voutcm              tr_voutdiff            v(VOCM)                tr_idd                
 1.019750000000001e-06  1.000000000000000e+00  3.773474492482851e-01  1.718308880785577e+00  1.604592622128377e+00  1.661450751456977e+00  1.137162586571998e-01  1.661268948722120e+00  1.708760872471927e-03 
 1.020250000000001e-06  1.000000000000000e+00  3.804567573472157e-01  1.720517782974642e+00  1.602796116462667e+00  1.661656949718654e+00  1.177216665119751e-01  1.661480683830122e+00  1.706089489673777e-03 
 1.020750000000001e-06  1.000000000000000e+00  3.833270698482345e-01  1.722704502742449e+00  1.600990718844259e+00  1.661847610793354e+00  1.217137838981897e-01  1.661677173749554e+00  1.703490258388473e-03 
 1.021250000000001e-06  1.000000000000000e+00  3.859695749299639e-01  1.724869613963041e+00  1.599176708522001e+00  1.662023161242521e+00  1.256929054410398e-01  1.661858797921186e+00  1.700965510866032e-03 
 1.021750000000001e-06  1.000000000000000e+00  3.883950000561893e-01  1.727013734228259e+00  1.597354345903179e+00  1.662184040065719e+00  1.296593883250803e-01  1.662025951799161e+00  1.698516734944594e-03 
 1.022250000000002e-06  1.000000000000000e+00  3.906136191816589e-01  1.729137512024144e+00  1.595523876148398e+00  1.662330694086271e+00  1.336136358757463e-01  1.662179042145487e+00  1.696144735470519e-03 
 1.022750000000002e-06  1.000000000000000e+00  3.926352621642566e-01  1.731241616246524e+00  1.593685532088917e+00  1.662463574167720e+00  1.375560841576078e-01  1.662318483121316e+00  1.693849757466694e-03 
 1.023250000000002e-06  1.000000000000000e+00  3.944693262455563e-01  1.733326727653864e+00  1.591839536585198e+00  1.662583132119531e+00  1.414871910686668e-01  1.662444693045787e+00  1.691631588611755e-03 
 1.023750000000002e-06  1.000000000000000e+00  3.961247885742207e-01  1.735393531953683e+00  1.589986104419091e+00  1.662689818186387e+00  1.454074275345922e-01  1.662558091725024e+00  1.689489650122986e-03 
 1.024250000000002e-06  1.000000000000000e+00  3.976102196344657e-01  1.737442714241957e+00  1.588125443800387e+00  1.662784079021172e+00  1.493172704415702e-01  1.662659098249983e+00  1.687423067764072e-03 
 1.024750000000002e-06  1.000000000000000e+00  3.989337974527560e-01  1.739474954555656e+00  1.586257757561720e+00  1.662866356058688e+00  1.532171969939362e-01  1.662748129196262e+00  1.685430736024696e-03 
 1.025250000000002e-06  1.000000000000000e+00  4.001033218762218e-01  1.741490924350272e+00  1.584383244087292e+00  1.662937084218782e+00  1.571076802629798e-01  1.662825597148305e+00  1.683511361557902e-03 
