 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 8.222426499470812e-04  1.000000000000000e+00  0.000000000000000e+00  4.059146218337531e-01  4.910680812600288e-01 
 8.317637711026813e-04  1.000000000000000e+00  0.000000000000000e+00  4.114790665616516e-01  4.921015769609021e-01 
 8.413951416452055e-04  1.000000000000000e+00  0.000000000000000e+00  4.170662402714828e-01  4.930739377457109e-01 
 8.511380382023871e-04  1.000000000000000e+00  0.000000000000000e+00  4.226747926019699e-01  4.939845420313372e-01 
 8.609937521846115e-04  1.000000000000000e+00  0.000000000000000e+00  4.283033514637665e-01  4.948328050240998e-01 
 8.709635899560917e-04  1.000000000000000e+00  0.000000000000000e+00  4.339505243196415e-01  4.956181796224411e-01 
 8.810488730080253e-04  1.000000000000000e+00  0.000000000000000e+00  4.396148995084723e-01  4.963401572668343e-01 
 8.912509381337569e-04  1.000000000000000e+00  0.000000000000000e+00  4.452950476104972e-01  4.969982687344801e-01 
 9.015711376059684e-04  1.000000000000000e+00  0.000000000000000e+00  4.509895228511423e-01  4.975920848765129e-01 
 9.120108393559215e-04  1.000000000000000e+00  0.000000000000000e+00  4.566968645405862e-01  4.981212172955786e-01 
 9.225714271547751e-04  1.000000000000000e+00  0.000000000000000e+00  4.624155985460952e-01  4.985853189618107e-01 
 9.332543007970031e-04  1.000000000000000e+00  0.000000000000000e+00  4.681442387940418e-01  4.989840847653961e-01 
 9.440608762859357e-04  1.000000000000000e+00  0.000000000000000e+00  4.738812887984041e-01  4.993172520041029e-01 
